"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10"
"76nwV8zz8tLz97SBRXH6uwHvgHXtqJDLQfF66jZhQ857",10,215,5,800,245683
"EsELtZoep4TYcugKyMnB4ZWZYxn99V5Vb1TwexDzFey",4,213,0,1000,244528
"9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6",0,214,0,1000,243996
"6W8yrMwtDU5G6ErazhZHfLjqZV8cMvajpSRGYgrZ3d4v",9,215,0,1000,242843
"D7ZCDE1PHe8duMjNpxwHrYbrRzcnsS7p4nD2daLzWwtr",0,213,0,10000,242399
"5mSBnz3zNSVzXQHxBmrTLESynukH2JHVcCN14GHtVsWD",0,215,5,1000,242264
"6SmEcnuXJ3ZYqJWTqCoPQMhfvey6PfWb1LebLzoH3f7m",0,217,0,1000,241984
"punK4RDD3pFbcum79ACHatYPLLE1hr5UNnQVUGNfeyP",0,68,5,1000,240933
"CV7uvPY1Hk5Avb2NvkGJoUzGnipZrEZK27j5rQJoUae9",10,215,0,0,240510
"GQ8DSRSNCFGEdCEwc6em1ma18qSPc5cXCSDnSPSznWBP",10,217,0,800,240452
"cover89z945JotsCRGdbjakJm4rnL5XspFSPgN1mVZj",10,216,0,800,239766
"GrefCNn5jSbcWv3uiervqZiCC87F8oX7PXz9LEBiog6s",0,53,5,1000,239274
"Ac1beBKixfNdrTAac7GRaTsJTxLyvgGvJjvy4qQfvyfc",0,149,3,1000,238609
"HFLsfstZkJeWDgVEA5fmXeea876Ad9f1VxrbXk386bBY",10,125,0,0,237863
"GdVBPczdFaPf1GXvx8ByHeA1ZHAHwwmdQEPihH74SXm9",0,216,0,1000,236681
"6GoijNiK3JZVAY96ykCfPhcJnrQfrQMLvrQaX5HyMVhu",0,216,0,1000,235977
"HAK7iPgQTFwqEzPfVrRDbG5epFdk1dsA9qQexytsDoes",0,125,0,1000,234961
"3r5ZXC1yFqMmk8VwDdUJbEdPmZ8KZvEkzd5ThEYRetTk",10,216,5,800,234784
"8inoRcYLtHdDL1qHWvGph7pkJKuJdrE2kNkFpjcYaYHf",6,216,0,1000,234177
"7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh",0,217,5,1000,232929
"EdGevanAjM8a6Gg9KxBVrmVdZAUGAZ9xaVd7t9R4H2x",5,183,0,5000,232496
"48oxpSHQkM4sdXUY9NQ8KnEtebzZbyk8uUT7JRdVQNuf",10,214,0,0,232467
"De4k4hrdkxFHmAx4nVRA3g5ukdg4YqmDLdwuYUcrjjud",0,215,0,1000,232235
"BrRf2kyJEuW8TgdeDjvJcKK4NzTzRtM9RB6WuVKXHxkN",0,120,5,1000,231783
"Rash24BXgUyy65JJ5KBzpYLrj3pyCqEMEixLVimTcDp",0,216,0,1000,231709
"BBGumW2W9u8NEpkKeK4Gq1dCL2dUzAcLVPoPFYHwHHjm",0,151,0,1000,230699
"o27rnqfNHPwHsRp2xPXXwWzn2q2dGxn6UD4Rt5KMU5h",1,216,0,1000,230052
